record,db,start,end,label
cu06,CUDB,0,500,Normal
cu06,CUDB,125,625,Normal
cu06,CUDB,250,750,Normal
cu06,CUDB,375,875,Normal
cu06,CUDB,500,1000,Normal
cu06,CUDB,625,1125,Normal
cu06,CUDB,750,1250,Normal
cu06,CUDB,875,1375,Normal
cu06,CUDB,1000,1500,Normal
cu06,CUDB,1125,1625,Normal
cu06,CUDB,1250,1750,Normal
cu06,CUDB,1375,1875,Normal
cu06,CUDB,1500,2000,Normal
cu06,CUDB,1625,2125,Normal
cu06,CUDB,1750,2250,Normal
cu06,CUDB,1875,2375,Normal
cu06,CUDB,2000,2500,Normal
cu06,CUDB,2125,2625,Normal
cu06,CUDB,2250,2750,Normal
cu06,CUDB,2375,2875,Normal
cu06,CUDB,2500,3000,Normal
cu06,CUDB,2625,3125,Normal
cu06,CUDB,2750,3250,Normal
cu06,CUDB,2875,3375,Normal
cu06,CUDB,3000,3500,Normal
cu06,CUDB,3125,3625,Normal
cu06,CUDB,3250,3750,Normal
cu06,CUDB,3375,3875,Normal
cu06,CUDB,3500,4000,Normal
cu06,CUDB,3625,4125,Normal
cu06,CUDB,3750,4250,Normal
cu06,CUDB,3875,4375,Normal
cu06,CUDB,4000,4500,Normal
cu06,CUDB,4125,4625,Normal
cu06,CUDB,4250,4750,Normal
cu06,CUDB,4375,4875,Normal
cu06,CUDB,4500,5000,Normal
cu06,CUDB,4625,5125,Normal
cu06,CUDB,4750,5250,Normal
cu06,CUDB,4875,5375,Normal
cu06,CUDB,5000,5500,Normal
cu06,CUDB,5125,5625,Normal
cu06,CUDB,5250,5750,Normal
cu06,CUDB,5375,5875,Normal
cu06,CUDB,5500,6000,Normal
cu06,CUDB,5625,6125,Normal
cu06,CUDB,5750,6250,Normal
cu06,CUDB,5875,6375,Normal
cu06,CUDB,6000,6500,Normal
cu06,CUDB,6125,6625,Normal
cu06,CUDB,6250,6750,Normal
cu06,CUDB,6375,6875,Normal
cu06,CUDB,6500,7000,Normal
cu06,CUDB,6625,7125,Normal
cu06,CUDB,6750,7250,Normal
cu06,CUDB,6875,7375,Normal
cu06,CUDB,7000,7500,Normal
cu06,CUDB,7125,7625,Normal
cu06,CUDB,7250,7750,Normal
cu06,CUDB,7375,7875,Normal
cu06,CUDB,7500,8000,Normal
cu06,CUDB,7625,8125,Normal
cu06,CUDB,7750,8250,Normal
cu06,CUDB,7875,8375,Normal
cu06,CUDB,8000,8500,Normal
cu06,CUDB,8125,8625,Normal
cu06,CUDB,8250,8750,Normal
cu06,CUDB,8375,8875,Normal
cu06,CUDB,8500,9000,Normal
cu06,CUDB,8625,9125,Normal
cu06,CUDB,8750,9250,Normal
cu06,CUDB,8875,9375,Normal
cu06,CUDB,9000,9500,Normal
cu06,CUDB,9125,9625,Normal
cu06,CUDB,9250,9750,Normal
cu06,CUDB,9375,9875,Normal
cu06,CUDB,9500,10000,Normal
cu06,CUDB,9625,10125,Normal
cu06,CUDB,9750,10250,Normal
cu06,CUDB,9875,10375,Normal
cu06,CUDB,10000,10500,Normal
cu06,CUDB,10125,10625,Normal
cu06,CUDB,10250,10750,Normal
cu06,CUDB,10375,10875,Normal
cu06,CUDB,10500,11000,Normal
cu06,CUDB,10625,11125,Normal
cu06,CUDB,10750,11250,Normal
cu06,CUDB,10875,11375,Normal
cu06,CUDB,11000,11500,Normal
cu06,CUDB,11125,11625,Normal
cu06,CUDB,11250,11750,Normal
cu06,CUDB,11375,11875,Normal
cu06,CUDB,11500,12000,Normal
cu06,CUDB,11625,12125,Normal
cu06,CUDB,11750,12250,Normal
cu06,CUDB,11875,12375,Normal
cu06,CUDB,12000,12500,Normal
cu06,CUDB,12125,12625,Normal
cu06,CUDB,12250,12750,Normal
cu06,CUDB,12375,12875,Normal
cu06,CUDB,12500,13000,Normal
cu06,CUDB,12625,13125,Normal
cu06,CUDB,12750,13250,Normal
cu06,CUDB,12875,13375,Normal
cu06,CUDB,13000,13500,Normal
cu06,CUDB,13125,13625,Normal
cu06,CUDB,13250,13750,Normal
cu06,CUDB,13375,13875,Normal
cu06,CUDB,13500,14000,Normal
cu06,CUDB,13625,14125,Normal
cu06,CUDB,13750,14250,Normal
cu06,CUDB,13875,14375,Normal
cu06,CUDB,14000,14500,Normal
cu06,CUDB,14125,14625,Normal
cu06,CUDB,14250,14750,Normal
cu06,CUDB,14375,14875,Normal
cu06,CUDB,14500,15000,Normal
cu06,CUDB,14625,15125,Normal
cu06,CUDB,14750,15250,Normal
cu06,CUDB,14875,15375,Normal
cu06,CUDB,15000,15500,Normal
cu06,CUDB,15125,15625,Normal
cu06,CUDB,15250,15750,Normal
cu06,CUDB,15375,15875,Normal
cu06,CUDB,15500,16000,Normal
cu06,CUDB,15625,16125,Normal
cu06,CUDB,15750,16250,Normal
cu06,CUDB,15875,16375,Normal
cu06,CUDB,16000,16500,Normal
cu06,CUDB,16125,16625,Normal
cu06,CUDB,16250,16750,Normal
cu06,CUDB,16375,16875,Normal
cu06,CUDB,16500,17000,Normal
cu06,CUDB,16625,17125,Normal
cu06,CUDB,16750,17250,Normal
cu06,CUDB,16875,17375,Normal
cu06,CUDB,17000,17500,Normal
cu06,CUDB,17125,17625,Normal
cu06,CUDB,17250,17750,Normal
cu06,CUDB,17375,17875,Normal
cu06,CUDB,17500,18000,Normal
cu06,CUDB,17625,18125,Normal
cu06,CUDB,17750,18250,Normal
cu06,CUDB,17875,18375,Normal
cu06,CUDB,18000,18500,Normal
cu06,CUDB,18125,18625,Normal
cu06,CUDB,18250,18750,Normal
cu06,CUDB,18375,18875,Normal
cu06,CUDB,18500,19000,Normal
cu06,CUDB,18625,19125,Normal
cu06,CUDB,18750,19250,Normal
cu06,CUDB,18875,19375,Normal
cu06,CUDB,19000,19500,Normal
cu06,CUDB,19125,19625,Normal
cu06,CUDB,19250,19750,Normal
cu06,CUDB,19375,19875,Normal
cu06,CUDB,19500,20000,Normal
cu06,CUDB,19625,20125,Normal
cu06,CUDB,19750,20250,Normal
cu06,CUDB,19875,20375,Normal
cu06,CUDB,20000,20500,Normal
cu06,CUDB,20125,20625,Normal
cu06,CUDB,20250,20750,Normal
cu06,CUDB,20375,20875,Normal
cu06,CUDB,20500,21000,Normal
cu06,CUDB,20625,21125,Normal
cu06,CUDB,20750,21250,Normal
cu06,CUDB,20875,21375,Normal
